max_length,temperature,top_p,top_k,do_sample
128,0.3,0.8,10,TRUE
128,0.3,0.8,10,FALSE
128,0.3,0.8,100,TRUE
128,0.3,0.8,100,FALSE
128,0.3,1,10,TRUE
128,0.3,1,10,FALSE
128,0.3,1,100,TRUE
128,0.3,1,100,FALSE
128,1,0.8,10,TRUE
128,1,0.8,10,FALSE
128,1,0.8,100,TRUE
128,1,0.8,100,FALSE
128,1,1,10,TRUE
128,1,1,10,FALSE
128,1,1,100,TRUE
128,1,1,100,FALSE
512,0.3,0.8,10,TRUE
512,0.3,0.8,10,FALSE
512,0.3,0.8,100,TRUE
512,0.3,0.8,100,FALSE
512,0.3,1,10,TRUE
512,0.3,1,10,FALSE
512,0.3,1,100,TRUE
512,0.3,1,100,FALSE
512,1,0.8,10,TRUE
512,1,0.8,10,FALSE
512,1,0.8,100,TRUE
512,1,0.8,100,FALSE
512,1,1,10,TRUE
512,1,1,10,FALSE
512,1,1,100,TRUE
512,1,1,100,FALSE
